"","country","Q.1","Q.2","Q.3","Q.4","Q.5","Q.6","Q.7","Q.8","Q.9","Q.10","Q.11","Q.12","Q.13","Q.14","Q.15","Q.16","Q.17","Q.18","Q.19","Q.20","Q.21","Q.22","Q.23","Q.24","Q.25","Q.26","Q.27","Q.28","Q.29","Q.30","Q.31","Q.32","Q.33","Q.34","Q.35","Q.36","age","avoidance","anxiety"
"1","AU",2.84844384303112,3.6021650879567,3.63599458728011,3.46549391069012,2.81596752368065,3.57916102841678,2.56968876860622,3.23139377537212,2.7212449255751,3.21109607577808,2.76860622462788,2.36400541271989,2.68335588633288,3.28281461434371,3.40460081190798,2.49391069012179,2.6319350473613,3.39242219215156,3.32611637347767,2.83220568335589,3.24627875507442,2.79972936400541,2.44925575101488,3.14479025710419,3.22598105548038,2.61975642760487,3.57374830852503,2.60351826792963,3.06495263870095,3.1745602165088,3.6468200270636,3.1894451962111,3.80784844384303,3.71041948579161,3.72530446549391,2.59404600811908,26.2801082543978,-6.6765899864682,49.6914749661705
"2","IN",2.78100263852243,3.71767810026385,3.88390501319261,3.71767810026385,2.69656992084433,3.37994722955145,2.38786279683377,3.53562005277045,2.44327176781003,3.69656992084433,2.94459102902375,2.70448548812665,2.56728232189974,3.48812664907652,3.6490765171504,2.62005277044855,2.56992084432718,3.61741424802111,3.45118733509235,3.21372031662269,3.10026385224274,2.63324538258575,2.43799472295515,3.53825857519789,3.54353562005277,2.79419525065963,3.78891820580475,2.93403693931398,3.40369393139842,3.62269129287599,3.89973614775726,3.6754617414248,3.86015831134565,3.67018469656992,3.8311345646438,3.27704485488127,24.2295514511873,-9.38258575197889,54.5699208443272
"3","HK",2.63157894736842,3.78947368421053,3.89473684210526,3.57894736842105,2.42105263157895,3.84210526315789,2.31578947368421,4,2.47368421052632,3.78947368421053,2.78947368421053,2.89473684210526,2.42105263157895,3.57894736842105,4.05263157894737,2.52631578947368,2.36842105263158,3.26315789473684,3.26315789473684,2.84210526315789,2.57894736842105,2.57894736842105,2.26315789473684,3.21052631578947,3.68421052631579,3.31578947368421,3.78947368421053,2.84210526315789,3.63157894736842,3.57894736842105,4.05263157894737,3.94736842105263,4.05263157894737,3.52631578947368,3.73684210526316,3,24.7368421052632,-11.8947368421053,54.9473684210526
"4","VN",3.4,3.2,3.9,2.9,2.6,2.6,2.4,2.8,2.6,3.1,2.9,1.8,2.5,2.6,3.4,1.9,2.8,2.8,3.5,2.9,3.8,3.6,2.5,3,2.4,2.6,3.4,1.8,3.3,2.6,3.9,2.8,3.5,2.4,3.1,2.5,22,-4.9,40.7
"5","MY",3.17777777777778,3.88888888888889,3.88888888888889,3.61111111111111,3.02222222222222,3.65555555555556,2.81111111111111,3.75555555555556,2.78888888888889,3.7,3.22222222222222,2.56666666666667,3.02222222222222,3.47777777777778,3.52222222222222,2.38888888888889,2.88888888888889,3.67777777777778,3.45555555555556,3.14444444444444,3.27777777777778,2.45555555555556,2.57777777777778,3.22222222222222,3.36666666666667,2.53333333333333,3.45555555555556,2.31111111111111,3.16666666666667,3.23333333333333,4,3.34444444444444,3.74444444444444,3.52222222222222,3.68888888888889,3,21.4333333333333,-5.5,52.5777777777778
"6","US",2.66247015411331,3.66681137399609,3.64640764054699,3.4914260907315,2.75450401562839,3.65074886042978,2.49587584111135,3.30008682439766,2.6238332971565,3.31376166702844,2.77805513349251,2.48469719991318,2.61580204037335,3.40471022357282,3.52832645973519,2.49500759713479,2.56381593227697,3.48046451052746,3.33850662036032,2.80746689819839,3.23344909919687,2.65172563490341,2.28217929238116,3.12665509008031,3.32689385717387,2.65118298241806,3.63577165183417,2.70892120685913,3.01226394616887,3.27045799869763,3.67766442370306,3.29824180594747,3.84219665726069,3.70154113305839,3.76796179726503,2.50412415888865,26.0430866073367,-7.76600824831778,50.7045799869763
"7","ID",3.03225806451613,3.91935483870968,3.85483870967742,3.5,2.88709677419355,3.5,2.48387096774194,3.40322580645161,2.53225806451613,3.90322580645161,3.14516129032258,2.51612903225806,2.56451612903226,3.48387096774194,3.75806451612903,2.58064516129032,2.62903225806452,3.7741935483871,3.37096774193548,3.33870967741935,3,2.64516129032258,2.45161290322581,3.16129032258065,3.46774193548387,2.69354838709677,3.80645161290323,2.79032258064516,3.25806451612903,3.19354838709677,3.7258064516129,3.45161290322581,3.82258064516129,3.33870967741935,3.53225806451613,3.12903225806452,22.6774193548387,-7.87096774193548,53.0322580645161
"8","NZ",2.88805970149254,3.5,3.61940298507463,3.47014925373134,2.91791044776119,3.53731343283582,2.59701492537313,3.23134328358209,2.75373134328358,3.24626865671642,3.05970149253731,2.40298507462687,2.74626865671642,3.13432835820896,3.49253731343284,2.42537313432836,2.78358208955224,3.45522388059702,3.26119402985075,2.8955223880597,3.37313432835821,2.77611940298507,2.42537313432836,3.17164179104478,3.13432835820896,2.67910447761194,3.54477611940298,2.45522388059702,2.86567164179104,3.06716417910448,3.51492537313433,3.17164179104478,3.66417910447761,3.78358208955224,3.63432835820896,2.54477611940298,25.6119402985075,-5.1865671641791,49.3955223880597
"9","GU",2.75,3.25,4.5,3.25,2,2.5,2.75,2.75,3,3.75,2.25,2.25,2.75,2,3.75,2,2.75,2.75,3.5,2.75,4,3.25,2.5,2.25,3.75,1.75,3.25,2,2.25,2,3,2.25,2.75,1.75,3.25,1.75,20.25,-5.25,37.75
"10","SG",2.77083333333333,3.875,3.84375,3.46875,2.78125,3.66666666666667,2.38541666666667,3.39583333333333,2.52083333333333,3.48958333333333,2.9375,2.54166666666667,2.46875,3.25,3.86458333333333,2.57291666666667,2.75,3.51041666666667,3.51041666666667,2.90625,3.16666666666667,2.60416666666667,2.38541666666667,3.13541666666667,3.19791666666667,2.67708333333333,3.65625,2.23958333333333,3.26041666666667,3.26041666666667,3.96875,3.27083333333333,4.01041666666667,3.5625,3.82291666666667,2.92708333333333,22.2083333333333,-8.96875,51.1458333333333
"11","PH",2.91324200913242,3.89497716894977,3.89041095890411,3.37442922374429,2.70776255707763,3.46118721461187,2.43835616438356,3.71689497716895,2.52054794520548,3.88584474885845,2.95433789954338,2.62100456621005,2.58447488584475,3.39269406392694,3.72146118721461,2.53881278538813,2.57534246575342,3.65753424657534,3.55707762557078,3.08219178082192,3.07305936073059,2.53424657534247,2.49315068493151,3.31050228310502,3.33333333333333,2.56164383561644,3.662100456621,2.61187214611872,3.20547945205479,3.12328767123288,3.49315068493151,3.23744292237443,3.93150684931507,3.33333333333333,3.84018264840183,2.88127853881279,21.5981735159817,-8.37442922374429,52.1506849315069
"12","LK",2.71428571428571,3,4.28571428571429,3.57142857142857,3.42857142857143,3.71428571428571,2.57142857142857,3.71428571428571,3.28571428571429,3.28571428571429,2.85714285714286,2.28571428571429,2.14285714285714,2.28571428571429,4.14285714285714,2.14285714285714,2.85714285714286,3.71428571428571,4,3,3.14285714285714,2.57142857142857,2.71428571428571,3.28571428571429,3.85714285714286,2.28571428571429,4,2.14285714285714,3.14285714285714,3.28571428571429,4.14285714285714,3.42857142857143,3.85714285714286,3.28571428571429,4.42857142857143,3.28571428571429,26.2857142857143,-10.1428571428571,49.1428571428571
"13","KE",3.6875,3.8125,3.25,3.375,3.4375,3.5625,2.875,3.5625,3.6875,3.6875,3.375,2.6875,3.1875,3,3.1875,2.5625,3.1875,3.375,2.8125,3.25,3.875,2.75,2.8125,3.25,2.6875,2.6875,3.4375,2.5625,2.4375,3.1875,3.75,3.75,3.9375,3.5,3.875,2.9375,26.25,0.75,52
"14","ZA",2.81720430107527,3.37634408602151,3.73118279569892,3.33333333333333,2.76344086021505,3.60215053763441,2.44086021505376,3.32258064516129,2.58064516129032,3.34408602150538,2.82795698924731,2.80645161290323,2.51612903225806,3.10752688172043,3.31182795698925,2.59139784946237,2.53763440860215,3.55913978494624,3.32258064516129,3.24731182795699,3.23655913978495,2.73118279569892,2.38709677419355,3.19354838709677,3.05376344086022,2.97849462365591,3.50537634408602,2.53763440860215,2.9247311827957,3.21505376344086,3.50537634408602,3.55913978494624,3.51612903225806,3.64516129032258,3.51612903225806,2.67741935483871,30.6344086021505,-6.27956989247312,51.3655913978495
"15","MW",3.33333333333333,3.33333333333333,4,3.66666666666667,2.33333333333333,2.33333333333333,2.66666666666667,3.66666666666667,2.66666666666667,2,3.33333333333333,1.66666666666667,2.33333333333333,3,3,1.66666666666667,3,3.33333333333333,3.33333333333333,2.66666666666667,2.33333333333333,3,2,2.66666666666667,2.33333333333333,2.33333333333333,2.33333333333333,3,3.33333333333333,2.66666666666667,3,3.33333333333333,3.33333333333333,3,3.66666666666667,2.33333333333333,27.3333333333333,-4.33333333333333,43.6666666666667
"16","JP",2.83870967741935,3.29032258064516,3.74193548387097,3.12903225806452,2.67741935483871,3.29032258064516,2.29032258064516,3.25806451612903,2.58064516129032,3.16129032258065,2.54838709677419,2.32258064516129,2.41935483870968,3.25806451612903,3.25806451612903,2.35483870967742,2.45161290322581,3.29032258064516,3.48387096774194,2.96774193548387,3.54838709677419,2.87096774193548,2.48387096774194,2.45161290322581,3.16129032258065,2.51612903225806,3.67741935483871,2.58064516129032,2.90322580645161,3.09677419354839,3.61290322580645,3.32258064516129,3.80645161290323,3.48387096774194,3.51612903225806,2.48387096774194,27.3548387096774,-7.32258064516129,47.3870967741936
"17","CA",2.78839957035446,3.68313641245972,3.67669172932331,3.48227712137487,2.75295381310419,3.59828141783029,2.58324382384533,3.24167561761547,2.68206229860365,3.2577873254565,2.82599355531686,2.42427497314715,2.6702470461869,3.33941997851772,3.46938775510204,2.47046186895811,2.66272824919441,3.49946294307197,3.31686358754028,2.78732545649839,3.28034371643394,2.66809881847476,2.35445757250269,3.10204081632653,3.22771213748657,2.73576799140709,3.58216970998926,2.6530612244898,3.03114930182599,3.19871106337272,3.60257787325456,3.27282491944146,3.76691729323308,3.73791621911923,3.72073039742213,2.51987110633727,27,-6.7937701396348,50.3361976369495
"18","RO",2.8,3.44,3.66,3.4,2.46,3.32,2.32,3.26,2.48,3.38,2.52,2.62,2.4,3.24,3.64,2.48,2.4,3.6,3.28,2.86,3.24,2.9,2.2,3.26,3.12,2.68,3.78,2.64,2.96,3.12,3.84,3.38,4,3.18,3.58,2.9,25.56,-9.04,49.86
