"","Q.1","Q.2","Q.3","Q.4","Q.5","Q.6","Q.7","Q.8","Q.9","Q.10","Q.11","Q.12","Q.13","Q.14","Q.15","Q.16","Q.17","Q.18","Q.19","Q.20","Q.21","Q.22","Q.23","Q.24","Q.25","Q.26","Q.27","Q.28","Q.29","Q.30","Q.31","Q.32","Q.33","Q.34","Q.35","Q.36","age","gender","country","avoidance","anxiety"
"2",3,2,2,4,4,5,5,4,5,2,4,1,4,1,4,1,3,4,3,1,4,4,3,2,1,1,3,2,1,1,1,1,3,2,2,1,20,"2","AU",15,31
"3",2,5,5,3,1,5,2,5,2,4,1,5,1,5,5,4,1,5,5,2,1,1,1,5,5,2,5,5,5,5,5,5,5,5,5,5,21,"1","AU",-33,74
"4",4,2,4,2,4,4,3,2,3,3,4,2,3,2,2,3,2,2,1,4,4,2,3,4,2,2,3,1,3,3,3,2,2,4,2,2,21,"1","AU",8,42
"5",4,4,4,2,2,5,2,4,2,4,2,1,2,1,4,2,2,5,4,4,5,2,4,4,4,4,4,1,1,4,4,4,4,4,4,2,41,"2","AU",-8,53
"6",4,5,2,4,5,4,4,2,4,2,5,3,4,4,2,2,4,3,2,2,4,2,4,3,1,2,2,2,4,4,2,4,2,4,2,2,47,"2","AU",19,50
"7",2,3,5,2,1,5,1,3,2,4,2,4,3,3,5,3,2,3,4,4,2,3,2,4,4,3,4,2,4,3,4,3,4,3,4,2,18,"2","AU",-21,51
"8",3,4,3,2,4,4,3,4,4,4,4,2,4,4,3,3,4,4,2,3,3,2,3,5,4,3,3,2,0,4,4,5,4,4,4,4,22,"2","TW",5,59
"9",3,5,3,4,3,5,3,4,3,4,3,2,3,3,3,2,3,5,1,3,1,1,3,5,2,3,2,3,1,4,3,4,4,4,4,3,30,"2","AU",2,62
"10",4,4,2,4,4,5,4,5,4,5,5,3,3,4,4,4,4,4,3,3,3,2,3,4,3,4,3,2,1,2,2,2,3,5,3,3,32,"2","AU",10,61
"11",2,4,4,5,4,2,2,4,2,5,4,4,4,3,5,4,2,4,4,5,4,4,2,5,5,5,5,2,4,5,5,5,5,5,5,5,25,"1","IN",-16,68
"12",4,5,3,5,3,4,3,4,3,5,4,3,3,5,2,3,3,5,3,1,3,4,3,4,1,2,2,1,2,3,3,1,2,3,4,4,28,"1","IN",7,54
"13",2,4,4,2,3,4,3,4,2,3,2,1,2,5,4,1,5,4,3,2,5,3,4,2,5,2,5,1,4,4,5,4,4,2,5,3,17,"2","IN",-11,45
"14",1,3,5,3,1,4,1,3,2,3,3,4,1,2,5,4,1,2,4,1,2,3,1,2,3,3,2,4,4,2,4,2,5,5,3,2,16,"1","HK",-22,46
"15",1,5,3,5,2,5,1,1,2,1,2,4,2,5,2,4,2,4,5,5,2,1,3,5,5,5,4,4,2,5,4,5,2,4,4,5,18,"2","IN",-14,71
"16",4,2,3,3,2,2,2,2,2,4,2,2,2,2,4,2,3,2,4,2,2,4,2,2,3,2,3,2,4,2,4,2,3,2,2,2,38,"1","IN",-9,33
"17",3,4,5,4,4,4,1,5,3,5,5,3,4,1,5,5,5,5,3,5,5,5,2,5,5,3,2,5,5,5,5,5,5,5,5,4,18,"2","IN",-8,68
"19",4,5,2,5,5,1,5,4,5,3,4,5,5,2,2,2,5,1,1,1,4,3,5,2,2,2,2,1,1,2,2,4,2,4,2,3,17,"2","AU",26,44
"20",3,4,4,3,2,4,2,4,2,5,3,2,2,3,4,2,2,4,4,4,4,4,1,4,3,3,4,3,4,3,4,2,4,3,4,3,14,"2","VN",-14,52
"21",4,4,3,4,4,4,4,4,5,5,5,2,4,3,2,2,4,4,2,2,5,2,3,4,2,2,3,2,2,2,3,2,3,4,2,2,23,"2","MY",16,50
"22",4,5,2,2,5,2,4,2,4,1,5,4,4,1,3,2,3,4,2,2,4,4,3,3,5,2,5,2,3,2,5,4,4,5,5,2,27,"2","US",2,41
"23",2,2,4,4,3,3,2,2,2,2,2,2,2,2,4,2,2,2,4,2,3,4,3,2,4,2,5,2,3,4,4,4,4,2,4,2,16,"2","US",-15,37
"24",4,4,4,4,2,5,2,4,4,5,4,4,2,3,2,3,2,4,2,3,5,2,2,5,2,4,4,2,2,4,4,4,2,5,4,2,31,"2","US",1,63
"25",4,4,4,2,4,4,4,2,2,2,2,2,3,2,4,2,2,3,2,2,3,3,3,2,2,2,3,1,1,2,3,3,3,2,3,2,49,"2","US",2,36
"26",2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,5,1,1,3,1,4,1,1,1,5,1,5,4,3,1,62,"1","US",-21,15
"27",5,5,4,4,4,5,4,5,4,3,3,5,4,5,4,4,4,3,2,4,5,1,2,1,2,4,4,4,2,3,2,4,2,4,3,4,35,"2","US",10,66
"28",5,5,3,5,5,4,3,4,5,2,5,2,4,5,1,2,4,4,2,3,3,1,3,4,1,2,1,5,2,2,1,3,1,5,2,3,41,"2","US",23,59
"29",1,4,4,2,3,3,2,4,2,3,4,2,2,4,4,2,2,4,3,3,4,2,2,2,4,2,4,2,3,4,4,2,4,2,4,2,40,"2","US",-12,45
"30",4,4,5,5,4,3,3,5,4,5,3,5,3,5,5,5,3,5,3,5,4,2,3,5,4,4,5,5,4,5,5,5,4,5,5,5,25,"1","US",-9,79
"31",2,2,4,2,2,4,2,2,2,2,2,2,2,4,4,2,2,2,3,2,2,4,2,2,3,2,4,2,4,2,4,3,4,2,3,2,23,"2","US",-15,35
"32",2,5,5,4,4,5,2,5,2,3,4,4,2,5,4,4,5,0,4,5,4,5,2,5,4,3,5,5,2,3,5,5,5,5,5,4,19,"2","US",-12,65
"34",4,3,2,4,3,4,4,4,4,3,4,3,4,2,2,2,3,2,2,2,3,3,3,2,2,2,3,2,2,3,2,3,3,3,3,2,20,"3","AU",11,43
"35",2,4,4,3,2,2,2,3,2,2,2,2,2,2,4,2,2,4,4,3,4,4,3,3,4,2,4,2,4,0,4,3,4,4,4,2,37,"2","AU",-15,39
"36",2,4,4,4,3,4,2,3,2,4,3,4,2,3,4,3,4,4,4,3,4,3,2,3,4,2,4,3,2,4,4,5,4,3,4,2,29,"2","AU",-10,55
"37",2,4,4,2,2,4,2,2,4,4,2,3,2,1,4,2,2,2,4,4,4,4,2,1,2,2,4,1,4,3,4,2,4,4,3,1,33,"2","AU",-11,38
"38",3,4,1,3,5,4,5,3,4,4,5,2,5,3,2,3,4,2,3,4,5,2,3,2,3,1,3,2,2,2,2,3,3,3,3,3,18,"2","AU",17,46
"39",2,4,4,4,4,4,2,4,4,2,3,1,4,4,4,2,3,4,4,3,3,2,3,3,2,2,4,2,2,3,4,4,3,3,3,2,18,"2","AU",-2,49
"40",5,5,3,4,4,5,4,4,5,5,4,2,4,2,2,2,4,3,2,1,5,2,4,3,3,1,3,1,2,2,3,2,3,3,2,1,23,"2","AU",16,44
"41",4,5,3,4,5,5,3,4,4,4,5,3,3,2,3,1,4,3,2,1,5,2,3,4,3,2,4,1,5,3,4,4,3,2,3,3,16,"1","AU",6,49
"42",1,4,4,4,1,5,2,5,3,5,2,4,4,5,5,4,2,4,1,3,4,1,2,2,3,2,4,4,2,4,4,1,3,5,4,1,18,"1","AU",-9,61
"43",5,5,3,4,4,5,3,4,4,4,5,4,4,5,3,2,2,3,3,4,4,1,1,5,2,5,1,4,3,4,2,4,3,5,3,3,23,"2","AU",9,69
"44",3,2,3,2,3,2,4,2,3,3,4,1,3,2,3,1,2,2,3,2,4,4,4,2,3,2,4,2,3,3,3,4,4,2,4,2,49,"2","AU",0,32
"45",1,3,5,3,2,4,2,3,2,5,4,5,2,3,5,2,2,2,5,1,2,4,2,1,4,2,4,2,4,2,5,4,4,3,4,2,23,"1","AU",-21,43
"46",2,4,1,3,1,4,1,4,1,5,3,4,2,2,5,3,1,3,5,4,2,3,1,4,0,4,4,2,5,4,5,4,5,4,4,4,23,"1","AU",-20,59
"47",2,5,2,4,1,5,1,5,2,5,3,1,4,4,2,2,2,5,5,4,4,1,2,5,2,4,3,3,3,5,2,4,3,1,3,3,19,"2","AU",-4,64
"48",5,3,5,5,2,3,1,4,0,4,3,3,2,3,4,3,2,5,3,3,3,3,2,4,4,3,4,1,3,3,4,4,3,2,3,3,29,"2","AU",-13,53
"49",1,4,5,3,1,2,1,3,2,1,1,1,1,2,5,2,1,4,5,4,3,4,1,2,4,1,5,2,3,3,5,4,5,3,5,3,28,"2","AU",-30,40
"50",4,5,5,5,5,5,5,5,4,5,2,5,4,3,1,5,4,5,5,5,3,1,5,5,2,3,3,3,3,5,5,5,5,5,5,5,26,"2","AU",2,78
"51",4,5,3,5,4,5,4,4,5,5,5,1,4,3,2,1,5,4,2,3,4,2,4,4,1,1,3,5,2,2,2,4,3,4,2,2,23,"2","AU",19,56
"53",5,4,1,4,5,4,4,2,0,2,4,1,5,2,2,2,4,4,2,4,4,4,4,5,1,2,1,4,2,2,1,2,2,2,2,2,19,"2","AU",21,44
"54",4,3,4,3,3,3,3,3,4,2,2,2,2,1,4,1,1,1,4,1,1,5,2,2,2,1,4,1,5,4,4,2,4,3,4,1,30,"2","AU",-13,29
